"sa2_code","sa2_name","dhb","dose1_cnt","dose2_cnt","pop_cnt","dose1_uptake","dose2_uptake"
"Unknown","Unknown","Unknown","masked","masked","5306",">950",">950"
"100100","North Cape","Northland","16","13","19","842","684"
"100200","Rangaunu Harbour","Northland","30","22","36","833","611"
"100400","Karikari Peninsula","Northland","19","15","25","760","600"
"100500","Tangonge","Northland","12","10","14","857","714"
"100600","Ahipara","Northland","19","16","21","905","762"
"100700","Kaitaia East","Northland","45","35","49","918","714"
"100800","Kaitaia West","Northland","88","69","102","863","676"
"100900","Rangitihi","Northland","masked","8","13",">950","615"
"101000","Oruru-Parapara","Northland","7","5 or less","masked","538","385"
"101100","Taumarumaru","Northland","33","31","37","892","838"
"101200","Herekino-Takahue","Northland","10","9","11","909","818"
"101300","Peria","Northland","13","10","15","867","667"
"101400","Taemaro-Oruaiti","Northland","13","9","17","765","529"
"101500","Whakapaku","Northland","5 or less","5 or less","masked","714","286"
"101600","Hokianga North","Northland","8","7","12","667","583"
"101700","Kohukohu-Broadwood","Northland","5 or less","5 or less","masked","455","273"
"101800","Whakarara","Northland","8","5 or less","masked","615","385"
"101900","Kaeo","Northland","13","10","20","650","500"
"102000","Omahuta Forest-Horeke","Northland","5 or less","5 or less","masked","714","571"
"102100","Hokianga South","Northland","11","8","16","688","500"
"102200","Lake Manuwai-Kapiro","Northland","masked","masked","28",">950",">950"
"102300","Okaihau","Northland","31","30","35","886","857"
"102400","Rangitane-Purerua","Northland","17","15","19","895","789"
"102500","Waipapa","Northland","5 or less","5 or less","masked","556","444"
"102600","Puketotara","Northland","masked","masked","31",">950",">950"
"102700","Waima Forest","Northland","10","9","17","588","529"
"102800","Riverview","Northland","18","15","22","818","682"
"102900","Waipoua Forest","Northland","12","11","17","706","647"
"103000","Kerikeri Central","Northland","masked","masked","56",">950",">950"
"103100","Kerikeri South","Northland","21","19","34","618","559"
"103200","Ohaeawai-Waimate North","Northland","13","10","16","812","625"
"103300","Puketona-Waitangi","Northland","masked","masked","5 or less",">950",">950"
"103400","Ngapuhi","Northland","15","14","18","833","778"
"103500","Kaikohe","Northland","76","60","104","731","577"
"103600","Pakaraka","Northland","5 or less","5 or less","masked",">950",">950"
"103700","Haruru","Northland","15","15","17","882","882"
"103800","Russell","Northland","8","8","9","889","889"
"103900","Paihia","Northland","24","19","26","923","731"
"104000","Mataraua Forest","Northland","5 or less","5 or less","masked","500","400"
"104100","Matawaia-Taumarere","Northland","11","10","21","524","476"
"104200","Russell Peninsula","Northland","5 or less","5 or less","masked",">950",">950"
"104300","Opua (Far North District)","Northland","10","7","13","769","538"
"104400","Russell Forest-Rawhiti","Northland","5 or less","5 or less","masked","556","333"
"104500","Moerewa","Northland","25","19","35","714","543"
"104600","Kawakawa","Northland","28","23","31","903","742"
"104700","Maromaku","Northland","5 or less","5 or less","masked","556","333"
"104800","Mangakahia-Hukerenui","Northland","10","8","15","667","533"
"104900","Whangaruru","Northland","27","22","31","871","710"
"105100","Matarau","Northland","23","19","26","885","731"
"105200","Hikurangi","Northland","19","14","23","826","609"
"105300","Kauri","Northland","15","13","18","833","722"
"105400","Maungatapere","Northland","16","13","20","800","650"
"105500","Kamo West","Northland","20","18","28","714","643"
"105600","Matapouri-Tutukaka","Northland","18","18","20","900","900"
"105700","Kiripaka","Northland","10","10","13","769","769"
"105800","Kamo East","Northland","83","70","101","822","693"
"105900","Granfield Reserve","Northland","34","28","39","872","718"
"106000","Kamo Central","Northland","masked","26","30",">950","867"
