sa2_code,sa2,dhbresidence,ethnicity_priority,dose1_cnt,dose2_cnt,pop_cnt,dose1_uptake,dose2_uptake
0,Unknown,Unknown,Pacific Peoples,3993,3839,masked,>950,>950
100100,North Cape,Northland,Pacific Peoples,masked,masked,masked,masked,masked
100200,Rangaunu Harbour,Northland,Pacific Peoples,masked,masked,masked,masked,masked
100400,Karikari Peninsula,Northland,Pacific Peoples,masked,masked,masked,masked,masked
100500,Tangonge,Northland,Pacific Peoples,masked,masked,masked,masked,masked
100600,Ahipara,Northland,Pacific Peoples,masked,masked,masked,masked,masked
100700,Kaitaia East,Northland,Pacific Peoples,55,53,masked,>950,>950
100800,Kaitaia West,Northland,Pacific Peoples,97,94,105,924,895
100900,Rangitihi,Northland,Pacific Peoples,masked,masked,masked,masked,masked
101000,Oruru-Parapara,Northland,Pacific Peoples,masked,masked,masked,masked,masked
101100,Taumarumaru,Northland,Pacific Peoples,masked,masked,masked,masked,masked
101200,Herekino-Takahue,Northland,Pacific Peoples,masked,masked,masked,masked,masked
101300,Peria,Northland,Pacific Peoples,masked,masked,masked,masked,masked
101400,Taemaro-Oruaiti,Northland,Pacific Peoples,masked,masked,masked,masked,masked
101500,Whakapaku,Northland,Pacific Peoples,masked,masked,masked,masked,masked
101600,Hokianga North,Northland,Pacific Peoples,masked,masked,masked,masked,masked
101700,Kohukohu-Broadwood,Northland,Pacific Peoples,masked,masked,masked,masked,masked
101800,Whakarara,Northland,Pacific Peoples,masked,masked,masked,masked,masked
101900,Kaeo,Northland,Pacific Peoples,masked,masked,masked,masked,masked
102000,Omahuta Forest-Horeke,Northland,Pacific Peoples,masked,masked,masked,masked,masked
102100,Hokianga South,Northland,Pacific Peoples,masked,masked,masked,masked,masked
102200,Lake Manuwai-Kapiro,Northland,Pacific Peoples,55,53,masked,masked,masked
102300,Okaihau,Northland,Pacific Peoples,masked,masked,masked,masked,masked
102400,Rangitane-Purerua,Northland,Pacific Peoples,masked,masked,masked,masked,masked
102500,Waipapa,Northland,Pacific Peoples,masked,masked,masked,masked,masked
102600,Puketotara,Northland,Pacific Peoples,41,41,masked,masked,masked
102700,Waima Forest,Northland,Pacific Peoples,masked,masked,masked,masked,masked
102800,Riverview,Northland,Pacific Peoples,masked,masked,masked,masked,masked
102900,Waipoua Forest,Northland,Pacific Peoples,masked,masked,masked,masked,masked
103000,Kerikeri Central,Northland,Pacific Peoples,98,98,masked,>950,>950
103100,Kerikeri South,Northland,Pacific Peoples,masked,masked,masked,masked,masked
103200,Ohaeawai-Waimate North,Northland,Pacific Peoples,masked,masked,masked,masked,masked
103300,Puketona-Waitangi,Northland,Pacific Peoples,masked,masked,masked,masked,masked
103400,Ngapuhi,Northland,Pacific Peoples,masked,masked,masked,masked,masked
103500,Kaikohe,Northland,Pacific Peoples,90,80,102,882,784
103600,Pakaraka,Northland,Pacific Peoples,masked,masked,masked,masked,masked
103700,Haruru,Northland,Pacific Peoples,masked,masked,masked,masked,masked
103800,Russell,Northland,Pacific Peoples,masked,masked,masked,masked,masked
103900,Paihia,Northland,Pacific Peoples,masked,masked,masked,masked,masked
104000,Mataraua Forest,Northland,Pacific Peoples,masked,masked,masked,masked,masked
