sa2_code,sa2_name,dhb,ethnicity_priority,dose1_cnt,dose2_cnt,pop_cnt,dose1_uptake,dose2_uptake
100100,North Cape,Northland,Pacific Peoples,20,20,22,909,909
100200,Rangaunu Harbour,Northland,Pacific Peoples,30,28,33,909,848
100300,Inlets Far North District,Northland,Pacific Peoples,masked,masked,masked,masked,masked
100400,Karikari Peninsula,Northland,Pacific Peoples,20,20,24,833,833
100500,Tangonge,Northland,Pacific Peoples,13,13,16,813,813
100600,Ahipara,Northland,Pacific Peoples,22,22,25,880,880
100700,Kaitaia East,Northland,Pacific Peoples,55,54,52,>950,>950
100800,Kaitaia West,Northland,Pacific Peoples,96,94,104,923,904
100900,Rangitihi,Northland,Pacific Peoples,13,13,13,>950,>950
101000,Oruru-Parapara,Northland,Pacific Peoples,13,10,14,929,714
101100,Taumarumaru,Northland,Pacific Peoples,37,35,37,>950,946
101200,Herekino-Takahue,Northland,Pacific Peoples,12,11,11,>950,>950
101300,Peria,Northland,Pacific Peoples,14,13,15,933,867
101400,Taemaro-Oruaiti,Northland,Pacific Peoples,13,13,15,867,867
101500,Whakapaku,Northland,Pacific Peoples,masked,masked,8,625,625
101600,Hokianga North,Northland,Pacific Peoples,9,8,12,750,667
101700,Kohukohu-Broadwood,Northland,Pacific Peoples,8,8,10,800,800
101800,Whakarara,Northland,Pacific Peoples,8,8,12,667,667
101900,Kaeo,Northland,Pacific Peoples,14,13,16,875,813
102000,Omahuta Forest-Horeke,Northland,Pacific Peoples,9,9,12,750,750
102100,Hokianga South,Northland,Pacific Peoples,13,13,16,813,813
102200,Lake Manuwai-Kapiro,Northland,Pacific Peoples,56,54,29,>950,>950
102300,Ōkaihau,Northland,Pacific Peoples,32,32,35,914,914
102400,Rangitane-Purerua,Northland,Pacific Peoples,18,17,19,947,895
102500,Waipapa,Northland,Pacific Peoples,7,7,9,778,778
102600,Puketotara,Northland,Pacific Peoples,43,43,30,>950,>950
102700,Waimā Forest,Northland,Pacific Peoples,13,12,17,765,706
102800,Riverview,Northland,Pacific Peoples,21,21,25,840,840
102900,Waipoua Forest,Northland,Pacific Peoples,14,14,17,824,824
103000,Kerikeri Central,Northland,Pacific Peoples,101,101,59,>950,>950
