"sa2_code","sa2_name","dhb","dose1_cnt","dose2_cnt","pop_cnt","dose1_uptake","dose2_uptake"
"Unknown","Unknown","Unknown","masked","masked","2877",">950",">950"
"100100","North Cape","Northland","20 or less","20 or less","masked","800","650"
"100200","Rangaunu Harbour","Northland","30","27","36","833","750"
"100400","Karikari Peninsula","Northland","20 or less","20 or less","masked","800","720"
"100500","Tangonge","Northland","20 or less","20 or less","masked","867","800"
"100600","Ahipara","Northland","20 or less","20 or less","masked","870","739"
"100700","Kaitaia East","Northland","masked","37","52",">950","712"
"100800","Kaitaia West","Northland","90","78","102","882","765"
"100900","Rangitihi","Northland","20 or less","20 or less","masked",">950",">950"
"101000","Oruru-Parapara","Northland","20 or less","20 or less","masked","538","385"
"101100","Taumarumaru","Northland","35","32","38","921","842"
"101200","Herekino-Takahue","Northland","20 or less","20 or less","masked","909","909"
"101300","Peria","Northland","20 or less","20 or less","masked","867","867"
"101400","Taemaro-Oruaiti","Northland","20 or less","20 or less","masked","750","562"
"101500","Whakapaku","Northland","20 or less","20 or less","masked","714","429"
"101600","Hokianga North","Northland","20 or less","20 or less","masked","667","583"
"101700","Kohukohu-Broadwood","Northland","20 or less","20 or less","masked","636","364"
"101800","Whakarara","Northland","20 or less","20 or less","masked","615","538"
"101900","Kaeo","Northland","20 or less","20 or less","masked","650","600"
"102000","Omahuta Forest-Horeke","Northland","20 or less","20 or less","masked","778","556"
"102100","Hokianga South","Northland","20 or less","20 or less","masked","750","562"
"102200","Lake Manuwai-Kapiro","Northland","masked","masked","28",">950",">950"
"102300","Okaihau","Northland","31","30","35","886","857"
"102400","Rangitane-Purerua","Northland","20 or less","20 or less","masked","895","789"
"102500","Waipapa","Northland","20 or less","20 or less","masked","600","400"
"102600","Puketotara","Northland","masked","masked","32",">950",">950"
"102700","Waima Forest","Northland","20 or less","20 or less","masked","588","529"
"102800","Riverview","Northland","20 or less","20 or less","masked","870","696"
"102900","Waipoua Forest","Northland","20 or less","20 or less","masked","706","647"
"103000","Kerikeri Central","Northland","masked","masked","58",">950",">950"
"103100","Kerikeri South","Northland","25","20 or less","masked","714","571"
"103200","Ohaeawai-Waimate North","Northland","20 or less","20 or less","masked","875","688"
"103300","Puketona-Waitangi","Northland","20 or less","20 or less","masked",">950",">950"
"103400","Ngapuhi","Northland","20 or less","20 or less","masked","842","789"
"103500","Kaikohe","Northland","77","70","103","748","680"
"103600","Pakaraka","Northland","20 or less","20 or less","masked",">950",">950"
"103700","Haruru","Northland","20 or less","20 or less","masked","941","882"
"103800","Russell","Northland","20 or less","20 or less","masked",">950",">950"
"103900","Paihia","Northland","24","21","26","923","808"
"104000","Mataraua Forest","Northland","20 or less","20 or less","masked","556","444"
"104100","Matawaia-Taumarere","Northland","20 or less","20 or less","masked","524","429"
"104200","Russell Peninsula","Northland","20 or less","20 or less","masked",">950","750"
"104300","Opua (Far North District)","Northland","20 or less","20 or less","masked","857","643"
"104400","Russell Forest-Rawhiti","Northland","20 or less","20 or less","masked","667","444"
"104500","Moerewa","Northland","26","20 or less","masked","743","571"
"104600","Kawakawa","Northland","29","27","31","935","871"
"104700","Maromaku","Northland","20 or less","20 or less","masked","556","556"
"104800","Mangakahia-Hukerenui","Northland","20 or less","20 or less","masked","688","562"
"104900","Whangaruru","Northland","27","23","31","871","742"
"105100","Matarau","Northland","masked","21","26",">950","808"
"105200","Hikurangi","Northland","masked","20 or less","masked",">950","739"
"105300","Kauri","Northland","20 or less","20 or less","masked","889","722"
"105400","Maungatapere","Northland","20 or less","20 or less","masked","857","762"
"105500","Kamo West","Northland","23","20 or less","masked","793","655"
"105600","Matapouri-Tutukaka","Northland","20 or less","20 or less","masked","900","900"
"105700","Kiripaka","Northland","20 or less","20 or less","masked","769","769"
"105800","Kamo East","Northland","85","77","101","842","762"
"105900","Granfield Reserve","Northland","35","29","40","875","725"
"106000","Kamo Central","Northland","masked","28","30",">950","933"
"106100","Whau Valley","Northland","masked","32","39",">950","821"
"106200","Tikipunga North","Northland","58","41","73","795","562"
"106300","Pukenui","Northland","20 or less","20 or less","masked",">950",">950"
"106400","Otangarei","Northland","37","32","53","698","604"
"106500","Tikipunga South","Northland","71","51","80","888","638"
"106600","Kensington (Whangarei District)","Northland","masked","53","57",">950","930"
"106700","Abbey Caves-Glenbervie","Northland","20 or less","20 or less","masked","882","824"
"106800","Mairtown","Northland","44","37","57","772","649"
"106900","Maunu-Horahora","Northland","30","28","40","750","700"
"107000","Woodhill-Vinetown","Northland","75","66","83","904","795"
"107100","Whangarei Central","Northland","masked","masked","26",">950",">950"
"107200","Riverside","Northland","38","35","44","864","795"
"107300","Raumanga","Northland","77","65","90","856","722"
"107400","Tarewa","Northland","35","29","37","946","784"
"107500","Morningside (Whangarei District)","Northland","42","38","52","808","731"
"107600","Ngunguru","Northland","20 or less","20 or less","masked",">950",">950"
"107700","Otaika-Portland","Northland","20 or less","20 or less","masked","688","625"
"107800","Oakleigh-Mangapai","Northland","20 or less","20 or less","masked",">950",">950"
"108000","Pataua","Northland","20 or less","20 or less","masked","857","714"
"108100","Onerahi Park","Northland","27","23","36","750","639"
"108200","Sherwood Rise","Northland","masked","37","46",">950","804"
"108300","Onerahi","Northland","39","30","51","765","588"
"108400","Inlet Whangarei Harbour","Northland","20 or less","20 or less","masked",">950",">950"
"108500","Parua Bay","Northland","masked","23","25",">950","920"
"108600","Bream Bay","Northland","masked","21","24",">950","875"
"108700","Marsden Bay","Northland","24","23","29","828","793"
"108800","Ruakaka","Northland","44","41","53","830","774"
"108900","Bream Head","Northland","20 or less","20 or less","masked","778","556"
"109000","Waipu","Northland","31","26","38","816","684"
"109100","Kaipara Coastal","Northland","30","23","45","667","511"
"109200","Maungaru","Northland","masked","masked","22",">950",">950"
"109300","Dargaville","Northland","177","151","205","863","737"
"109400","Ruawai-Matakohe","Northland","25","20 or less","masked","833","633"
"109500","Otamatea (Kaipara District)","Northland","20 or less","20 or less","masked","611","500"
"109600","Maungaturoto","Northland","20 or less","20 or less","masked","812","688"
"109700","Kaiwaka","Northland","masked","25","27",">950","926"
"109800","Mangawhai Rural","Northland","28","24","34","824","706"
"109900","Mangawhai Heads","Northland","32","30","34","941","882"
"110100","Mangawhai","Northland","20 or less","20 or less","masked","923","769"
