"tla_code","tla_name","dhb","dose1_cnt","dose2_cnt","pop_cnt","dose1_uptake","dose2_uptake"
"Unknown","Unknown","Unknown","masked","62196","68183",">950","912"
"1","Far North District","Northland","48131","43665","58421","824","747"
"2","Whangarei District","Northland","71077","65695","80735","880","814"
"3","Kaipara District","Northland","17368","15956","21103","823","756"
"11","Thames-Coromandel District","Waikato","23893","22454","27286","876","823"
"12","Hauraki District","Counties Manukau","711","668","795","894","840"
"12","Hauraki District","Waikato","14505","13351","17066","850","782"
"13","Waikato District","Counties Manukau","16395","15655","17542","935","892"
"13","Waikato District","Waikato","43306","40421","48049","901","841"
"15","Matamata-Piako District","Waikato","26983","25201","29836","904","845"
"16","Hamilton City","Waikato","132714","124833","139885","949","892"
"17","Waipa District","Waikato","44431","42436","47868","928","887"
"18","Otorohanga District","Waikato","7036","6457","8046","874","803"
"19","South Waikato District","Waikato","17363","15614","19969","869","782"
"20","Waitomo District","Waikato","6900","6244","7913","872","789"
"21","Taupo District","Lakes","29518","27131","32960","896","823"
"22","Western Bay of Plenty District","Bay of Plenty","42586","39288","46953","907","837"
"23","Tauranga City","Bay of Plenty","115557","106947","124808","926","857"
"24","Rotorua District","Lakes","53494","48629","59388","901","819"
"25","Whakatane District","Bay of Plenty","26022","23056","30752","846","750"
"26","Kawerau District","Bay of Plenty","5211","4417","6249","834","707"
"27","Opotiki District","Bay of Plenty","6382","5529","7515","849","736"
"28","Gisborne District","Tairawhiti","36680","33010","41219","890","801"
"29","Wairoa District","Hawke's Bay","5620","5034","6579","854","765"
"30","Hastings District","Hawke's Bay","65753","60302","70765","929","852"
"31","Napier City","Hawke's Bay","50669","46898","54983","922","853"
"32","Central Hawke's Bay District","Hawke's Bay","11180","10381","12243","913","848"
"33","New Plymouth District","Taranaki","63492","59104","69923","908","845"
"34","Stratford District","Taranaki","6818","6267","7801","874","803"
"35","South Taranaki District","Taranaki","19356","17854","21849","886","817"
"36","Ruapehu District","Waikato","5581","4970","6688","834","743"
"36","Ruapehu District","Whanganui","2906","2584","3413","851","757"
"37","Whanganui District","Whanganui","35902","32876","40640","883","809"
"38","Rangitikei District","Whanganui","11486","10663","12842","894","830"
"39","Manawatu District","MidCentral","24438","22758","26373","927","863"
"40","Palmerston North City","MidCentral","masked","63618","71095",">950","895"
"41","Tararua District","MidCentral","13568","12325","15220","891","810"
"42","Horowhenua District","MidCentral","26695","24318","29702","899","819"
"43","Kapiti Coast District","Capital and Coast","37353","35521","40018","933","888"
"43","Kapiti Coast District","MidCentral","7194","6606","8037","895","822"
"44","Porirua City","Capital and Coast","45141","41966","48249","936","870"
"45","Upper Hutt City","Hutt Valley","35733","33667","37622","950","895"
"46","Lower Hutt City","Hutt Valley","85698","80660","90655","945","890"
"47","Wellington City","Capital and Coast","masked","masked","178702",">950",">950"
"48","Masterton District","Wairarapa","21392","19638","23125","925","849"
"49","Carterton District","Wairarapa","7843","7346","8497","923","865"
"50","South Wairarapa District","Wairarapa","9242","8698","9884","935","880"
"51","Tasman District","Nelson Marlborough","42189","39217","47174","894","831"
"52","Nelson City","Nelson Marlborough","42314","39519","45441","931","870"
"53","Marlborough District","Nelson Marlborough","masked","37306","41738",">950","894"
"54","Kaikoura District","Canterbury","3081","2911","3470","888","839"
"55","Buller District","West Coast","7498","6864","8620","870","796"
"56","Grey District","West Coast","10399","9507","11627","894","818"
"57","Westland District","West Coast","6532","6064","7166","912","846"
"58","Hurunui District","Canterbury","10076","9515","11186","901","851"
"59","Waimakariri District","Canterbury","50221","47229","54712","918","863"
"60","Christchurch City","Canterbury","masked","299193","327417",">950","914"
"62","Selwyn District","Canterbury","masked","53141","57299",">950","927"
"63","Ashburton District","Canterbury","26534","25052","28034","946","894"
"64","Timaru District","South Canterbury","38228","36059","41406","923","871"
"65","Mackenzie District","South Canterbury","3790","3550","4116","921","862"
"66","Waimate District","South Canterbury","6329","5923","7020","902","844"
"67","Chatham Islands Territory","Canterbury","masked","masked","234",">950",">950"
"68","Waitaki District","Southern","17832","16724","19556","912","855"
"69","Central Otago District","Southern","masked","18098","19957",">950","907"
"70","Queenstown-Lakes District","Southern","masked","masked","37353",">950",">950"
"71","Dunedin City","Southern","masked","103441","111670",">950","926"
"72","Clutha District","Southern","13788","12863","15109","913","851"
"73","Southland District","Southern","22703","20977","25086","905","836"
"74","Gore District","Southern","9773","9072","10804","905","840"
"75","Invercargill City","Southern","42933","39902","46188","930","864"
"76","Auckland","Area outside District Health Board","20 or less","20 or less","masked","500","500"
"76","Auckland","Auckland","masked","390020","414120",">950","942"
"76","Auckland","Counties Manukau","427502","405742","456401","937","889"
"76","Auckland","Waitemata","491706","473778","518702","948","913"
"999","Area Outside Territorial Authority","Area outside District Health Board","20 or less","20 or less","masked",">950",">950"
