"tla_code","tla_name","dhb","dose1_cnt","dose2_cnt","pop_cnt","dose1_uptake","dose2_uptake"
"Unknown","Unknown","Unknown","masked","masked","2800",">950",">950"
"1","Far North District","Northland","1010","949","1073","941","884"
"2","Whangarei District","Northland","1349","1271","1496","902","850"
"3","Kaipara District","Northland","402","367","443","907","828"
"11","Thames-Coromandel District","Waikato","267","258","315","848","819"
"12","Hauraki District","Counties Manukau","20 or less","20 or less","masked","882","824"
"12","Hauraki District","Waikato","222","207","254","874","815"
"13","Waikato District","Counties Manukau","masked","masked","751",">950",">950"
"13","Waikato District","Waikato","masked","919","1001",">950","918"
"15","Matamata-Piako District","Waikato","masked","330","363",">950","909"
"16","Hamilton City","Waikato","5968","5752","6390","934","900"
"17","Waipa District","Waikato","masked","masked","496",">950",">950"
"18","Otorohanga District","Waikato","93","89","98","949","908"
"19","South Waikato District","Waikato","1392","1316","1555","895","846"
"20","Waitomo District","Waikato","180","167","201","896","831"
"21","Taupo District","Lakes","542","517","576","941","898"
"22","Western Bay of Plenty District","Bay of Plenty","masked","masked","882",">950",">950"
"23","Tauranga City","Bay of Plenty","masked","2149","2317",">950","927"
"24","Rotorua District","Lakes","1523","1444","1648","924","876"
"25","Whakatane District","Bay of Plenty","346","327","377","918","867"
"26","Kawerau District","Bay of Plenty","78","69","92","848","750"
"27","Opotiki District","Bay of Plenty","masked","masked","127",">950",">950"
"28","Gisborne District","Tairawhiti","masked","masked","969",">950",">950"
"29","Wairoa District","Hawke's Bay","masked","masked","85",">950",">950"
"30","Hastings District","Hawke's Bay","masked","masked","3511",">950",">950"
"31","Napier City","Hawke's Bay","masked","1180","1281",">950","921"
"32","Central Hawke's Bay District","Hawke's Bay","masked","masked","139",">950",">950"
"33","New Plymouth District","Taranaki","masked","846","926",">950","914"
"34","Stratford District","Taranaki","masked","masked","49",">950",">950"
"35","South Taranaki District","Taranaki","masked","246","266",">950","925"
"36","Ruapehu District","Waikato","60","51","71","845","718"
"36","Ruapehu District","Whanganui","42","39","53","792","736"
"37","Whanganui District","Whanganui","763","722","866","881","834"
"38","Rangitikei District","Whanganui","375","358","421","891","850"
"39","Manawatu District","MidCentral","masked","283","313",">950","904"
"40","Palmerston North City","MidCentral","masked","2353","2549",">950","923"
"41","Tararua District","MidCentral","150","142","160","938","888"
"42","Horowhenua District","MidCentral","masked","1116","1216",">950","918"
"43","Kapiti Coast District","Capital and Coast","740","709","786","941","902"
"43","Kapiti Coast District","MidCentral","168","156","183","918","852"
"44","Porirua City","Capital and Coast","9560","9068","10418","918","870"
"45","Upper Hutt City","Hutt Valley","1441","1386","1537","938","902"
"46","Lower Hutt City","Hutt Valley","7718","7332","8285","932","885"
"47","Wellington City","Capital and Coast","masked","7255","7812",">950","929"
"48","Masterton District","Wairarapa","masked","538","596",">950","903"
"49","Carterton District","Wairarapa","masked","masked","96",">950",">950"
"50","South Wairarapa District","Wairarapa","masked","masked","133",">950",">950"
"51","Tasman District","Nelson Marlborough","masked","masked","502",">950",">950"
"52","Nelson City","Nelson Marlborough","masked","masked","703",">950",">950"
"53","Marlborough District","Nelson Marlborough","masked","masked","967",">950",">950"
"54","Kaikoura District","Canterbury","masked","masked","20 or less",">950",">950"
"55","Buller District","West Coast","77","72","82","939","878"
"56","Grey District","West Coast","masked","119","130",">950","915"
"57","Westland District","West Coast","masked","masked","60",">950",">950"
"58","Hurunui District","Canterbury","masked","masked","88",">950",">950"
"59","Waimakariri District","Canterbury","496","476","555","894","858"
"60","Christchurch City","Canterbury","masked","9202","10119",">950","909"
"62","Selwyn District","Canterbury","masked","masked","797",">950",">950"
"63","Ashburton District","Canterbury","masked","1108","1200",">950","923"
"64","Timaru District","South Canterbury","masked","masked","757",">950",">950"
"65","Mackenzie District","South Canterbury","masked","35","41",">950","854"
"66","Waimate District","South Canterbury","masked","62","67",">950","925"
"67","Chatham Islands Territory","Canterbury","20 or less","20 or less","masked",">950",">950"
"68","Waitaki District","Southern","masked","628","674",">950","932"
"69","Central Otago District","Southern","masked","masked","266",">950",">950"
"70","Queenstown-Lakes District","Southern","masked","masked","302",">950",">950"
"71","Dunedin City","Southern","masked","masked","2967",">950",">950"
"72","Clutha District","Southern","masked","masked","222",">950",">950"
"73","Southland District","Southern","182","168","208","875","808"
"74","Gore District","Southern","masked","masked","99",">950",">950"
"75","Invercargill City","Southern","masked","1243","1335",">950","931"
"76","Auckland","Auckland","42611","40867","46312","920","882"
"76","Auckland","Counties Manukau","105127","100533","115109","913","873"
"76","Auckland","Waitemata","34712","33365","37104","936","899"
