"tla_code","tla_name","dhb","dose1_cnt","dose2_cnt","pop_cnt","dose1_uptake","dose2_uptake"
"Unknown","Unknown","Unknown","masked","masked","2877",">950",">950"
"1","Far North District","Northland","959","862","1067","899","808"
"2","Whangarei District","Northland","1314","1159","1487","884","779"
"3","Kaipara District","Northland","380","328","444","856","739"
"11","Thames-Coromandel District","Waikato","262","245","317","826","773"
"12","Hauraki District","Counties Manukau","20 or less","20 or less","masked","824","765"
"12","Hauraki District","Waikato","216","199","262","824","760"
"13","Waikato District","Counties Manukau","masked","masked","746",">950",">950"
"13","Waikato District","Waikato","933","852","993","940","858"
"15","Matamata-Piako District","Waikato","masked","307","360",">950","853"
"16","Hamilton City","Waikato","5867","5429","6384","919","850"
"17","Waipa District","Waikato","masked","459","494",">950","929"
"18","Otorohanga District","Waikato","89","82","97","918","845"
"19","South Waikato District","Waikato","1362","1208","1556","875","776"
"20","Waitomo District","Waikato","175","162","201","871","806"
"21","Taupo District","Lakes","537","489","578","929","846"
"22","Western Bay of Plenty District","Bay of Plenty","masked","masked","876",">950",">950"
"23","Tauranga City","Bay of Plenty","masked","1946","2306",">950","844"
"24","Rotorua District","Lakes","1497","1347","1659","902","812"
"25","Whakatane District","Bay of Plenty","335","285","374","896","762"
"26","Kawerau District","Bay of Plenty","70","59","91","769","648"
"27","Opotiki District","Bay of Plenty","masked","masked","126",">950",">950"
"28","Gisborne District","Tairawhiti","masked","879","967",">950","909"
"29","Wairoa District","Hawke's Bay","masked","75","84",">950","893"
"30","Hastings District","Hawke's Bay","masked","masked","3512",">950",">950"
"31","Napier City","Hawke's Bay","1212","1076","1278","948","842"
"32","Central Hawke's Bay District","Hawke's Bay","masked","masked","141",">950",">950"
"33","New Plymouth District","Taranaki","872","752","922","946","816"
"34","Stratford District","Taranaki","masked","39","50",">950","780"
"35","South Taranaki District","Taranaki","masked","231","266",">950","868"
"36","Ruapehu District","Waikato","59","42","71","831","592"
"36","Ruapehu District","Whanganui","41","37","53","774","698"
"37","Whanganui District","Whanganui","744","665","872","853","763"
"38","Rangitikei District","Whanganui","365","339","424","861","800"
"39","Manawatu District","MidCentral","292","264","309","945","854"
"40","Palmerston North City","MidCentral","2407","2159","2551","944","846"
"41","Tararua District","MidCentral","140","129","158","886","816"
"42","Horowhenua District","MidCentral","1154","1023","1216","949","841"
"43","Kapiti Coast District","Capital and Coast","720","659","778","925","847"
"43","Kapiti Coast District","MidCentral","164","139","185","886","751"
"44","Porirua City","Capital and Coast","9299","8221","10431","891","788"
"45","Upper Hutt City","Hutt Valley","1410","1263","1534","919","823"
"46","Lower Hutt City","Hutt Valley","7540","6753","8283","910","815"
"47","Wellington City","Capital and Coast","7350","6826","7810","941","874"
"48","Masterton District","Wairarapa","561","504","596","941","846"
"49","Carterton District","Wairarapa","masked","82","94",">950","872"
"50","South Wairarapa District","Wairarapa","masked","127","135",">950","941"
"51","Tasman District","Nelson Marlborough","masked","masked","499",">950",">950"
"52","Nelson City","Nelson Marlborough","masked","663","705",">950","940"
"53","Marlborough District","Nelson Marlborough","masked","masked","969",">950",">950"
"54","Kaikoura District","Canterbury","masked","20 or less","masked",">950","900"
"55","Buller District","West Coast","73","62","82","890","756"
"56","Grey District","West Coast","122","101","130","938","777"
"57","Westland District","West Coast","masked","53","60",">950","883"
"58","Hurunui District","Canterbury","masked","80","88",">950","909"
"59","Waimakariri District","Canterbury","493","443","560","880","791"
"60","Christchurch City","Canterbury","9461","8579","10124","935","847"
"62","Selwyn District","Canterbury","masked","716","782",">950","916"
"63","Ashburton District","Canterbury","masked","1002","1203",">950","833"
"64","Timaru District","South Canterbury","masked","692","751",">950","921"
"65","Mackenzie District","South Canterbury","37","30","41","902","732"
"66","Waimate District","South Canterbury","63","57","67","940","851"
"67","Chatham Islands Territory","Canterbury","20 or less","20 or less","masked",">950",">950"
"68","Waitaki District","Southern","masked","569","678",">950","839"
"69","Central Otago District","Southern","masked","masked","262",">950",">950"
"70","Queenstown-Lakes District","Southern","masked","masked","299",">950",">950"
"71","Dunedin City","Southern","masked","2686","2977",">950","902"
"72","Clutha District","Southern","masked","masked","223",">950",">950"
"73","Southland District","Southern","177","158","211","839","749"
"74","Gore District","Southern","masked","91","99",">950","919"
"75","Invercargill City","Southern","masked","1151","1333",">950","863"
"76","Auckland","Auckland","41900","38886","46341","904","839"
"76","Auckland","Counties Manukau","103128","95190","115056","896","827"
"76","Auckland","Waitemata","34117","31688","37087","920","854"
